"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 14 00:00:38 IST 2024","Sun Apr 14 00:00:39 IST 2024","554","test","test_HomePage","TestHomePage","","","test_formSubmission[getdata0]",""
"passed","Sun Apr 14 00:00:39 IST 2024","Sun Apr 14 00:00:39 IST 2024","476","test","test_HomePage","TestHomePage","","","test_formSubmission[getdata1]",""
"passed","Sun Apr 14 00:00:42 IST 2024","Sun Apr 14 00:00:49 IST 2024","6808","test","test_e2e","TestOne","","","test_e2e",""
